Hardware Vendor,Nodes,Form Factor,Result,ssj_ops @ 10% of target load,ssj_ops @ 90% of target load,ssj_ops @ 80% of target load,ssj_ops @ 70% of target load,ssj_ops @ 60% of target load,ssj_ops @ 50% of target load,ssj_ops @ 40% of target load,ssj_ops @ 30% of target load,ssj_ops @ 20% of target load,ssj_ops @ 10% of target load,Average watts @ 10% of target load,Average watts @ 90% of target load,Average watts @ 80% of target load,Average watts @ 70% of target load,Average watts @ 60% of target load,Average watts @ 50% of target load,Average watts @ 40% of target load,Average watts @ 30% of target load,Average watts @ 20% of target load,Average watts@10% of target load,Average watts @ active idle,Performance/power @ 10% of target load,Performance/power @ 90% of target load,Performance/power @ 80% of target load,Performance/power @ 70% of target load,Performance/power @ 60% of target load,Performance/power @ 50% of target load,Performance/power @ 40% of target load,Performance/power @ 30% of target load,Performance/power @ 20% of target load,Performance/power @ 10% of target load,# Cores,# Chips,# Cores Per Chip,Processor,DIMMS,Power Supply Details,Power Supply Rating (watts)
Hewlett Packard Enterprise,6,Other,11021,694000,626000,557000,487000,417000,348000,279000,209000,139000,69600,5968,5387,4510,3815,3284,2837,2484,2183,1895,1596,758,11630,11627,12350,12771,12710,12266,11214,9562,7345,4361,672,24,28,Intel Xeon Platinum 8180 2.50 GHz,24 x 16384 MB,Shared,0
Hewlett Packard Enterprise,1,2U,0,56000,50500,44800,39200,33600,28000,22400,16800,11200,558911,566,515,466,423,381,340,302,267,231,195,96.4,9890,9801,9602,9273,8829,8230,7420,6310,4833,2868,72,4,18,Intel Xeon E5-4669 v3 2.10 GHz,16 x 8182 MB,656364-B21,120
Huawei Technologies Co. Ltd,1,1U,14209,60700,54900,48500,42400,36500,30300,24300,18200,12100,603554,421,336,269,247,216,195,188,165,142,119,51.7,14413,16370,18052,17135,16863,15548,12898,10991,8543,5083,56,2,28,Intel Xeon Platinum 8280 2.70 GHz,12 x 16 GB,Huawei P/N 02312DEP,550
Huawei Technologies Co. Ltd,1,1U,13465,58600,53000,47000,41200,35200,29400,23500,17600,11800,588329,414,345,295,255,223,202,190,165,142,119,50.3,14153,15354,15923,16133,15826,14559,12361,10653,830,4965,56,2,28,Intel Xeon Platinum 8280 2.70 GHz,12 x 16 GB,Huawei P/N 02312DEP,550
Huawei Technologies Co. Ltd,1,2U,13490,58800,52900,47000,41100,35200,29400,23500,17600,11800,587940,415,346,295,252,223,20,189,165,142,119,49.9,14163,15298,15924,16341,15829,14683,12420,10669,8275,4943,56,2,28,Intel Xeon Platinum 8280 2.70 GHz,12 x 16 GB,Huawei P/N 02312DEP,550
Huawei Technologies Co. Ltd,1,2U,14224,61200,55400,48800,42700,36600,30500,24400,18300,12200,611346,419,329,279,248,226,194,190,165,142,119,52.2,14604,16824,17529,17195,16203,15692,12862,11077,8581,5129,56,2,28,Intel Xeon Platinum 8280 2.70 GHz,12 x 16 GB,Huawei P/N 02312DEP,550
Huawei Technologies Co. Ltd,1,2U,13478,58400,52600,46700,40800,35000,29200,23400,17500,11700,584445,437,341,280,249,220,198,180,161,142,123,50.3,13351,15413,16675,16386,15864,14702,13027,10885,8221,4765,56,2,28,Intel Xeon Platinum 8180 2.50 GHz,12 x 16 GB,Huawei P/N 02131255,550
Huawei Technologies Co. Ltd,1,2U,12968,59400,53600,47500,41600,35700,29700,23700,17800,11900,596165,461,381,313,277,233,201,182,162,142,120,49.6,12882,14083,15181,15029,15362,14739,13065,10985,8375,4957,56,2,28,Intel Xeon Platinum 8176,12 x 16 GB,Huawei P/N 02131255,550
Huawei Technologies Co. Ltd,1,2U,13398,56000,50400,44700,39200,33700,28100,22400,16900,11200,558842,423,328,271,238,210,192,174,157,139,120,48.9,13260,15364,1650,16484,16066,14634,12884,10732,8067,4640,56,2,28,Intel Xeon Platinum 8180 2.50 GHz,12 x 16 GB,Huawei P/N 02131255,550
Huawei Technologies Co. Ltd,1,4U,13388,58700,52900,46900,41000,35200,29300,23500,17600,11800,586448,414,346,298,254,227,204,189,166,142,119,50,14151,15270,15726,16101,15536,14378,12417,10618,8261,4945,56,2,28,Intel Xeon Platinum 8280 2.70 GHz,12 x 16 GB,Huawei P/N 02311TLF,90
Huawei Technologies Co. Ltd,1,4U,14071,61100,55500,48900,42800,36700,30600,24500,18300,12200,613020,422,336,283,256,236,194,188,165,142,119,51.5,14479,16499,17285,16712,15518,15728,13061,11111,8605,5156,56,2,28,Intel Xeon Platinum 8280 2.70 GHz,12 x 16 GB,Huawei P/N 02311TLF,90
Huawei Technologies Co. Ltd,1,2U,12212,40100,36200,32100,28100,24000,2000,16000,12000,802971,401091,329,277,228,187,164,145,131,117,101,83.7,43.5,12198,13078,14095,15026,14653,13793,12179,10242,7937,4793,40,2,20,Intel Xeon E5-2698 V4,8 x 8 GB,Huawei P/N 02131167,750
Huawei Technologies Co. Ltd,1,2U,1070,32100,28900,25700,22500,19300,16000,12900,965645,645694,320790,266,237,208,183,160,141,125,110,96.6,83.2,44.8,12068,12238,12389,12352,12061,11381,10369,8759,6682,3855,36,2,18,Intel Xeon E5-2699 v3 2.30 GHz,8 x 8 GB,Huawei P/N 02131167,750
Huawei Technologies Co. Ltd,4,4U,10653,159000,143000,129000,111000,95600,79600,63800,47700,31900,15900,1419,1213,1042,863,787,668,598,553,476,396,217,11229,11758,12367,12919,12158,11924,10676,8625,670,4012,160,8,20,Intel Xeon E5-2698 V4,8 x 8 GB,Shared,0
Huawei Technologies Co. Ltd,8,12U,5316,247000,223000,198000,173000,148000,124000,98800,74100,49500,24800,3868,3481,3032,2611,2340,2143,1971,1823,1674,1531,1080,6377,6393,6517,6619,6336,5764,5011,4064,2956,1618,256,16,16,Intel Xeon E5-2683 V4,16 x 32 GB,Shared,300
Huawei Technologies Co. Ltd,10,12U,5555,306000,276000,245000,215000,184000,153000,123000,92100,61500,30700,4425,4097,3654,3150,2817,2577,2391,2187,207,1821,1250,6920,6741,6716,6823,6538,5954,5130,4212,3062,1686,320,20,16,Intel Xeon E5-2683 V4,16 x 32 GB,Shared,300
Huawei Technologies Co. Ltd,4,2U,10261,151000,137000,121000,106000,90700,75600,60500,45500,30200,15100,1322,1132,966,852,764,705,645,579,502,419,232,11439,12124,12523,12416,11880,10713,9381,7851,6028,3615,176,8,22,Intel Xeon E5-2699 v4 2.20 GHz,8 x 8 GB,Shared,0
Inspur Corporation,1,1U,12167,58000,52400,46600,40700,34900,29100,23300,17400,11600,585602,458,406,342,283,249,216,193,169,141,119,51.3,12656,12897,13607,14388,13977,13478,12068,10292,8261,4911,56,2,28,Intel Xeon Platinum 8176 CPU 2.10 GHz (Intel Turbo Boost Technology up to 2.80 GHz),12 x 16 GB,Delta DPS-80AB-9X P/N:V07LP040000F,80
Inspur Corporation,1,2U,14365,58500,52800,46900,41000,35200,29300,23500,17600,11700,587248,410,332,278,247,217,184,156,142,123,108,48.6,14293,15924,16866,16646,16238,15907,15012,12434,9509,5428,56,2,28,Intel Xeon Platinum 8280 2.70 GHz,12 x 16 GB,Delta DPS-550AB-19 B P/N:ZMPS100105,550
Inspur Corporation,1,2U,12385,48600,43900,39100,34200,29300,24400,19500,14600,974045,485973,347,312,278,241,212,183,160,141,128,115,48.3,14014,14049,14062,14190,13808,13342,12215,10337,7640,4212,56,2,28,Intel Xeon Platinum 8276L 2.20 GHz,12 x 16 GB,Delta DPS-80AB-9X P/N:V07LP040000F,80
Inspur Corporation,1,2U,13481,57300,51800,46100,40200,34500,28800,23000,17200,11500,575314,432,345,273,236,212,193,179,166,141,120,49.5,13247,1501,16907,17045,16299,14940,12876,10404,8151,4807,56,2,28,Intel Xeon Platinum 8180 2.50 GHz,12 x 16 GB,Delta DPS-80AB-9X P/N:V07LP040000F,80
Inspur Corporation,1,2U,13064,58200,52500,46700,40900,35000,29100,23300,17500,11600,583592,454,374,305,265,228,198,176,160,133,113,49.4,12825,14045,15302,15423,15384,14693,13270,10936,8715,5183,56,2,28,Intel Xeon Platinum 8176,12 x 16 GB,Delta DPS-80AB-9X P/N:V07LP040000F,80
Inspur Corporation,1,4U,12198,99200,89500,79700,69600,59700,49700,39700,29900,2000,994857,726,645,546,477,421,371,333,303,273,233,158,13667,13886,14595,14603,14192,13392,11942,9886,7306,4268,112,4,28,Intel Xeon Platinum 8176,24 x 16 GB,GW-CRPS120 PN:V07LW020V0030F,120
Inspur Corporation,1,2U,12296,35600,32100,28600,25000,21400,17800,14300,10700,713846,357111,245,221,191,171,156,144,130,113,97.5,82.1,45.7,14567,14551,14951,14637,13676,12362,10988,9483,7325,4349,44,2,22,Intel Xeon E5-2699 v4 2.20 GHz,8 x 16 GB,Delta DPS-80AB-9X P/N:V07LP040000F,80
Lenovo Global Technology,1,1U,19422,66700,60200,53500,46800,40200,33500,26800,2000,13400,667801,254,228,213,198,186,178,168,155,136,114,63.2,26297,26461,25073,23631,21529,18849,15998,12907,9826,5834,64,1,64,AMD EPYC 7742 2.25 GHz,8 x 16384 MB,Lenovo P/N:SP57A03125,750
Lenovo Global Technology,1,1U,18555,63700,57500,51200,44700,38400,32100,25600,19200,12800,641297,255,228,214,198,186,178,167,150,130,114,74.6,25013,25267,23973,22556,20588,17980,15319,12852,9817,5601,64,1,64,AMD EPYC 7742 2.25 GHz,8 x 16384 MB,Lenovo P/N:SP57A03125,750
Lenovo Global Technology,1,1U,22467,12000,109000,96500,84400,72400,60300,48300,36200,24100,12100,403,360,336,313,292,271,251,231,209,183,99.5,29760,30177,28704,26981,24754,22241,19221,15650,11525,6583,128,2,64,AMD EPYC 7742 2.25 GHz,16 x 16384 MB,Lenovo P/N:SP57A14665,750
Lenovo Global Technology,1,1U,22877,122000,11000,98000,85800,73500,61300,49100,36700,24400,12200,404,360,339,315,294,271,252,232,209,183,82.5,30138,30567,28917,27241,25050,22578,19486,15832,11675,6672,128,2,64,AMD EPYC 7742 2.25 GHz,16 x 16384 MB,Lenovo P/N:SP57A14665,750
Lenovo Global Technology,1,1U,22642,12000,108000,96000,84100,72200,60100,48000,36000,24000,12000,398,355,331,309,290,270,250,229,208,183,94,3034,30452,29047,27180,24919,22299,19244,15714,11544,6586,128,2,64,AMD EPYC 7742 2.25 GHz,16 x 16384 MB,Lenovo P/N:4P57A26293,110
Lenovo Global Technology,1,1U,23082,122000,11000,97500,85800,73500,61100,49100,36700,24500,12200,40,355,330,311,291,271,251,230,208,182,84,30477,31051,29540,27582,25212,22560,19553,15959,11786,6713,128,2,64,AMD EPYC 7742 2.25 GHz,16 x 16384 MB,Lenovo P/N:4P57A26293,110
Lenovo Global Technology,1,2U,20176,66500,60100,53400,46800,4000,33400,26700,2000,13300,665861,240,218,202,189,178,170,160,151,134,111,66.1,27704,27616,26419,24780,22537,19684,16682,13245,9950,5979,64,1,64,AMD EPYC 7742 2.25 GHz,8 x 16384 MB,Lenovo P/N:SP57A03125,750
Lenovo Global Technology,1,2U,19149,64200,58100,51600,45100,38700,32300,25800,19300,12900,644115,243,219,204,190,180,170,159,148,138,123,76.8,26446,26508,25352,23732,21471,18988,16196,13025,9350,5252,64,1,64,AMD EPYC 7742 2.25 GHz,8 x 16384 MB,Lenovo P/N:SP57A03125,750
Lenovo Global Technology,1,2U,23191,122000,11000,97600,85300,73200,61000,48800,36600,24400,12200,395,352,332,309,288,268,249,228,205,181,82.3,30749,31164,29377,2760,25362,22786,19611,16037,11858,6754,128,2,64,AMD EPYC 7742 2.25 GHz,16 x 16384 MB,Lenovo P/N:SP57A14665,750
Lenovo Global Technology,1,2U,22879,12000,109000,96200,84400,72300,60200,48200,36200,24100,12100,394,353,328,308,288,268,248,228,206,181,92.4,30410,30786,29349,27411,25093,22520,19436,15872,11677,6660,128,2,64,AMD EPYC 7742 2.25 GHz,16 x 16384 MB,Lenovo P/N:SP57A14665,750
Lenovo Global Technology,1,2U,23428,122000,11000,97300,85500,73300,61200,48800,36600,24400,12200,391,349,325,306,286,267,246,226,205,180,82.8,31106,31461,29931,27996,25580,22922,19844,16195,11929,6793,128,2,64,AMD EPYC 7742 2.25 GHz,16 x 16384 MB,Lenovo P/N:4P57A26293,110
Lenovo Global Technology,1,2U,22903,119000,108000,95900,84000,72000,6000,48000,35900,24000,12000,392,350,329,305,285,265,246,227,205,180,93.9,30496,30872,29115,27519,25239,22596,19535,15868,11683,6659,128,2,64,AMD EPYC 7742 2.25 GHz,16 x 16384 MB,Lenovo P/N:4P57A26293,110
Lenovo Global Technology,4,2U,12377,197000,178000,158000,138000,116000,98900,79100,59200,39500,19800,1324,1191,1064,942,836,761,688,618,547,471,315,14878,14932,14848,14668,13933,1302,11485,9579,7227,4194,224,8,28,Intel Xeon Platinum 8276L 2.20 GHz,12 x 16 GB,Shared,0
Lenovo Global Technology,4,2U,11756,199000,182000,161000,141000,121000,101000,80500,60400,40400,20200,1474,1313,1150,1016,911,822,740,663,583,498,241,13473,13879,14027,13893,13265,12265,10881,9114,6923,4050,224,8,28,Intel Xeon Platinum 8176,12 x 16 GB,Shared,0
Lenovo Global Technology,4,2U,11472,196000,18000,16000,14000,12000,10000,8000,6000,39900,2000,1434,1324,1179,1042,929,838,758,678,597,512,256,13638,13596,13567,13422,12902,11929,10551,8853,6690,3911,224,8,28,Intel Xeon Platinum 8176,12 x 16 GB,Shared,0
Lenovo Global Technology,14,10U,10738,694000,634000,561000,491000,421000,351000,281000,21000,14000,70100,5288,508,4612,3879,3357,3036,2743,2458,2184,1885,1446,13133,12663,12172,12658,12544,11560,10230,8564,6421,3720,784,28,28,Intel Xeon Platinum 8176,12 x 16 GB,Shared,0
Lenovo Global Technology,7,10U,12295,71000,632000,569000,498000,427000,356000,285000,214000,142000,71200,4985,4338,3879,3455,3075,2723,2458,2202,1939,1651,1052,14249,14571,14654,14417,13895,13070,11587,9708,7348,4313,784,28,28,Intel Xeon Platinum 8276L 2.20 GHz,24 x 16 GB,Shared,0
Lenovo Global Technology,7,10U,11538,706000,641000,571000,498000,428000,357000,286000,214000,143000,71400,5366,4683,4141,3670,3302,2982,2681,2391,2102,1801,820,13159,13693,13795,13568,12977,11969,10656,8961,6787,3965,784,28,28,Intel Xeon Platinum 8176,24 x 16 GB,Shared,0
Lenovo Global Technology,1,1U,10273,836281,754110,669931,588192,501031,422806,335688,252321,167971,84612,87.2,68.8,55.6,46.3,40.4,35,29.9,26,22.8,20,16.8,9587,10961,12042,12715,12387,12068,11224,9688,7353,4228,6,1,6,Intel Xeon E-2176G,2 x 16 GB,DELTA LN SP57A36869,30
Lenovo Global Technology,1,1U,11870,49600,44300,39600,34800,29900,24900,2000,14900,996750,496445,355,308,277,254,230,206,183,160,138,115,72.3,13985,14360,14296,13722,12983,12063,10914,9322,7209,4310,56,2,28,Intel Xeon Platinum 8176,12 x 16 GB,Lenovo P/N:7N67A0884,750
Lenovo Global Technology,1,2U,12091,49700,44300,39600,34900,29900,24900,19900,14900,996513,497750,352,305,273,250,225,201,178,157,136,114,67.7,14117,14513,14490,13973,13306,12395,11211,9490,7325,4372,56,2,28,Intel Xeon Platinum 8176,12 x 16 GB,Lenovo P/N:7N67A0884,750
Lenovo Global Technology,1,2U,11406,25300,22900,20300,17800,15200,12700,10100,763471,509202,253847,183,163,144,129,117,106,97.4,88.8,79.8,70.3,45.6,13841,14066,14089,13783,13031,11908,10408,860,6379,3611,28,1,28,Intel Xeon Platinum 8176 CPU 2.10 GHz (Intel Turbo Boost Technology up to 2.80 GHz),6 x 16384 MB,Lenovo P/N:7N67A0884,750
Lenovo Global Technology,1,2U,12336,50300,45700,40400,35400,30300,25200,20200,15200,10100,504275,357,314,273,242,217,197,177,159,139,119,57.7,14070,14560,14778,14635,13964,12846,11379,9550,7242,4249,56,2,28,Intel Xeon Platinum 8176 CPU 2.10 GHz (Intel Turbo Boost Technology up to 2.80 GHz),12 x 16384 MB,Lenovo P/N:7N67A0884,750
Lenovo Global Technology,1,2U,11631,26300,24000,21400,18600,16000,13400,10700,797725,533114,265897,177,164,150,136,124,112,101,91.1,81,71.1,50,14850,14654,14234,13675,12915,11888,10540,8761,6583,3742,28,1,28,Intel Xeon Platinum 8280 2.70 GHz,6 x 16384 MB,Lenovo P/N:7N67A0884,750
Lenovo Global Technology,1,2U,13357,102000,90700,81600,71600,61200,51100,40900,30700,20500,10200,672,584,521,463,409,361,320,283,246,218,121,15218,15532,15655,15460,14954,14162,12784,10843,8326,4695,112,4,28,Intel Xeon Platinum 8276L 2.20 GHz,24 x 16384 MB,Lenovo P/N:7N67A0883,750
Lenovo Global Technology,1,2U,13010,101000,92600,81900,71600,61500,51200,41000,30700,20500,10200,688,614,532,467,416,374,337,301,266,228,95.8,14617,15079,15399,15354,14780,13693,12151,10177,7718,4495,112,4,28,Intel Xeon Platinum 8176 CPU 2.10 GHz (Intel Turbo Boost Technology up to 2.80 GHz),24 x 16384 MB,Lenovo P/N:7N67A0885,110
Lenovo Global Technology,1,2U,13154,103000,94100,83700,73200,62800,52300,41800,31400,20900,10400,711,625,547,477,418,370,331,294,256,217,119,14566,15061,15314,15345,15025,14121,12637,10684,8141,4807,112,4,28,Intel Xeon Platinum 8276L 2.20 GHz,24 x 16384 MB,Lenovo P/N:7N67A0886,160
Lenovo Global Technology,1,4U,12886,20000,18000,16000,14000,12000,10000,80100,60100,4000,2000,1329,1178,1046,931,823,731,660,592,523,449,281,15029,15277,15313,15067,14604,1370,12138,10149,7656,4457,224,8,28,Intel Xeon Platinum 8276L 2.20 GHz,48 x 16 GB,Lenovo P/N:7N67A0885,110
Lenovo Global Technology,1,4U,12377,204000,184000,163000,143000,123000,102000,81700,61300,40900,20400,1479,1275,1122,990,875,791,710,631,552,469,182,13763,14422,14561,14467,1406,12915,11517,9715,7413,4360,224,8,28,Intel Xeon Platinum 8176,48 x 16 GB,Lenovo LN SP50L09210,160
New H3C Technologies Co. Ltd.,15,Other,11047,853000,769000,685000,598000,513000,428000,342000,257000,171000,85500,7561,6574,5451,4627,3965,3444,3056,2702,2337,1950,891,11286,11703,12563,12932,12934,12418,11190,9495,7317,4382,840,30,28,Intel Xeon Platinum 8180 2.50 GHz,12 x 16384 MB,Shared,0
New H3C Technologies Co. Ltd.,16,Other,11066,91000,82000,729000,638000,547000,456000,364000,273000,182000,91100,7967,6979,5791,4933,4232,3681,3263,2888,2501,2089,959,11419,11749,12587,12942,12923,12387,11166,9465,7285,4359,896,32,28,Intel Xeon Platinum 8180 2.50 GHz,12 x 16384 MB,Shared,0
New H3C Technologies Co. Ltd.,10,Other,10954,569000,513000,456000,399000,342000,285000,228000,171000,114000,57000,4993,4383,3641,3117,2673,2332,2073,1837,1592,1335,631,11398,11702,12523,12801,12790,12220,10987,9308,7160,4271,560,20,28,Intel Xeon Platinum 8180 2.50 GHz,12 x 16384 MB,Shared,0
New H3C Technologies Co. Ltd.,11,Other,1100,626000,564000,501000,439000,376000,313000,251000,188000,125000,62600,5479,4812,405,3410,2932,2552,2265,205,1739,1455,681,11422,11727,12516,12869,12831,12283,11073,9374,7214,4305,616,22,28,Intel Xeon Platinum 8180 2.50 GHz,12 x 16384 MB,Shared,0
New H3C Technologies Co. Ltd.,12,Other,1101,683000,616000,547000,479000,41000,342000,274000,205000,137000,68400,5999,5261,4380,3725,3195,2775,2470,2183,1892,1584,735,11387,11702,12496,12859,12849,12334,11089,9403,7232,4316,672,24,28,Intel Xeon Platinum 8180 2.50 GHz,12 x 16384 MB,Shared,0
New H3C Technologies Co. Ltd.,13,Other,10996,741000,667000,593000,519000,445000,371000,297000,222000,148000,74100,6532,5721,4743,4032,3461,307,2674,2363,2045,1710,787,11338,11663,1250,12867,12859,12325,11098,9411,7250,4336,728,26,28,Intel Xeon Platinum 8180 2.50 GHz,12 x 16384 MB,Shared,0
New H3C Technologies Co. Ltd.,14,Other,11046,798000,719000,639000,559000,479000,399000,319000,24000,16000,8000,7031,6137,5076,4325,3723,3222,2862,2530,2187,1828,838,11344,11710,12586,12933,12878,12393,11157,9474,7306,4374,784,28,28,Intel Xeon Platinum 8180 2.50 GHz,12 x 16384 MB,Shared,0
New H3C Technologies Co. Ltd.,8,Other,10820,455000,411000,365000,319000,274000,228000,182000,137000,91300,45600,3982,3603,2987,2558,2199,1904,1668,1464,1263,1057,498,11424,11398,12219,12480,12454,11986,10938,9363,7228,4317,448,16,28,Intel Xeon Platinum 8180 2.50 GHz,12 x 16384 MB,Shared,0
New H3C Technologies Co. Ltd.,9,Other,10780,511000,461000,41000,359000,307000,256000,205000,154000,103000,51300,4479,4072,3393,2887,2477,2144,1875,1644,1419,1190,558,11408,11327,12085,12431,12415,11959,10935,9356,7226,4307,504,18,28,Intel Xeon Platinum 8180 2.50 GHz,12 x 16384 MB,Shared,0
New H3C Technologies Co. Ltd.,1,2U,13107,119000,107000,95300,83600,71700,59600,47800,36100,23900,11900,915,735,624,546,475,410,364,324,282,238,94.2,13031,14581,15288,1530,15091,14536,13116,11143,8479,5013,112,4,28,Intel Xeon Platinum 8280L 2.70 GHz,24 x 16 GB,DELTA PSR850-12A,850
New H3C Technologies Co. Ltd.,1,2U,12190,116000,105000,93200,81400,69900,58100,46600,34900,23300,11600,956,779,662,574,497,429,380,335,291,248,99.6,12164,13436,14085,14181,14053,13548,12261,10416,8022,4699,112,4,28,Intel Xeon Platinum 8180 2.50 GHz,24 x 16 GB,DELTA PSR850-12A,850
New H3C Technologies Co. Ltd.,1,2U,12747,121000,109000,96800,84600,72700,60600,48400,36300,24200,12100,963,793,659,566,489,422,372,332,289,242,95.5,12574,13739,14681,14962,14872,14340,1303,10944,8379,4993,112,4,28,Intel Xeon Platinum 8280L 2.70 GHz,24 x 16 GB,DELTA PSR850-12A,850
New H3C Technologies Co. Ltd.,1,2U,11964,115000,103000,91700,80400,68900,57400,46000,34400,22900,11500,957,787,665,576,497,431,383,339,294,245,99.8,11973,13125,13794,13963,13855,13302,1201,10149,780,4680,112,4,28,Intel Xeon Platinum 8180 2.50 GHz,24 x 16 GB,DELTA PSR850-12A,850
New H3C Technologies Co. Ltd.,1,2U,12368,56900,51300,45700,39900,34200,28500,22800,17100,11400,570324,430,372,325,281,242,210,185,163,143,126,58.4,13228,13813,14089,14230,14108,13560,12301,10465,7972,4531,56,2,28,Intel(R) Xeon(R) Platinum 8180 CPU @2.50 GHz,12 x 8 GB,DELTA DPS-80AB-9 P/N 0202A1DC,80
Nokia Corporation,5,3U,6183,74100,66700,59300,51900,44500,37000,29700,22200,14800,742987,877,804,752,703,655,608,560,512,463,411,247,8453,8291,7884,7378,6792,6092,5295,4343,3198,1806,10,5,20,Intel(R) Xeon(R) Gold 6210U CPU @ 2.50 GHz,4 x 16 GB,Shared,0
Quanta Computer Inc.,1,2U,11568,33800,30100,26900,23700,2000,16500,13600,10200,677618,338889,247,217,191,169,149,135,134,119,104,87.7,46.6,13706,13859,14099,14013,13451,12269,10102,8512,6544,3866,44,2,22,Intel Xeon E5-2699 v4 2.20 GHz,8 x 8 GB,Quanta P/N 1HY9ZZZ0291,50
Quanta Computer Inc.,1,2U,12047,54600,49900,44300,38800,33200,27700,22200,16600,11100,553417,454,398,331,274,238,203,178,156,135,114,40.3,12019,12532,13389,14138,13941,13618,12474,10662,8193,4846,56,2,28,Intel Xeon Platinum 8180 2.50 GHz,12 x 16384 MB,ARTESYN MC80B6-3-4R-02,80
Quanta Computer Inc.,1,2U,13613,58500,52900,47100,41000,35200,29400,23500,17700,11800,591393,414,356,309,264,229,197,173,152,131,110,37.7,14154,14845,15256,15520,15366,14894,13595,11616,8981,5396,56,2,28,Intel Xeon Platinum 8280L 2.70 GHz,12 x 8 GB,ARTESYN MC80B6-3-4R-02,80
Quanta Computer Inc.,1,2U,12801,56000,51100,45500,40100,34100,28400,22700,17100,11400,569455,401,361,318,279,239,207,181,159,138,115,38.4,13964,14159,14281,14389,14230,13729,12509,10709,8251,4958,56,2,28,Intel Xeon Platinum 8180 2.50 GHz (Intel Turbo Boost Technology up to 3.8GHz),12 x 8 GB,Murata MPS8146,80
Quanta Computer Inc.,1,2U,12438,56500,50900,45400,39600,34100,28300,22700,17000,11300,566437,426,383,334,278,240,208,182,160,138,116,39.5,13280,13286,13579,14248,14185,13651,12462,10616,8196,4895,56,2,28,Intel Xeon Platinum 8180 2.50 GHz,12 x 16384 MB,ARTESYN MC80B6-3-4R-02,80
Quanta Computer Inc.,1,1U,7908,474667,429153,383647,333845,285081,238443,191599,142793,94822,47303,47.9,44.6,40.4,36,32.1,28.9,26.1,22.7,20.4,18,14.4,9914,9626,9488,9273,8872,8262,7345,6279,4651,2631,4,1,4,Intel E3-1260L v5,2 x 8192 MB,Quanta P/N 1HY9ZZZ063C,50
Quanta Computer Inc.,4,2U,11444,195000,176000,156000,137000,117000,97800,78200,58600,39100,19600,1478,1367,1208,1033,894,80,719,640,562,480,206,13179,12874,12932,13234,13119,12217,10879,9160,6957,4077,224,8,28,Intel Xeon Platinum 8176,12 x 16384 MB,None,220
Sugon,1,2U,10831,43600,39600,35100,30700,26400,21900,17600,13200,879550,438584,296,279,258,233,212,196,183,171,159,145,94.9,14729,14170,13597,13205,12467,11183,9579,7692,5539,3019,64,2,32,AMD EPYC 7601 2.20 GHz,16 x 8 GB,Sugon 80W 80 Plus Platinum PSU(P/N:Sugon 3300132),80
Sugon,1,2U,6507,27200,24600,21800,19100,16400,13700,10900,821743,549429,272764,278,265,250,238,225,213,201,190,179,166,103,9773,9254,8733,8043,7298,6427,5451,4324,3064,1642,32,2,16,AMD EPYC 7351,16 x 8 GB,ARTESYN 550W PSU(P/N:CSU550AP-3-20),550
Sugon,1,2U,9248,42100,38100,33900,29600,25400,21100,17000,12700,846248,422942,307,295,282,268,249,232,217,203,188,171,103,13724,12941,12011,11064,10178,9117,7804,6262,4498,2470,64,2,32,AMD EPYC 7501 2.0 GHz,16 x 8 GB,ARTESYN 550W PSU(P/N:CSU550AP-3-20),550
Sugon,1,2U,8079,24500,22400,19900,17400,14900,12400,993670,746439,496618,247432,245,227,20,172,157,146,137,127,117,107,51.9,9983,9828,9959,10122,9485,8485,7277,5883,4244,2318,28,2,14,Intel Xeon Gold 5117,12 x 16 GB,ARTESYN 550W PSU(P/N:CSU550AP-3-20),550
Sugon,1,2U,9230,35400,32200,28600,25100,21400,17900,14300,10700,716615,358898,343,318,279,228,194,173,156,142,128,113,52.4,10308,10137,10235,10974,11047,10360,9146,7562,5588,3174,36,2,18,Intel Xeon Gold 6140,12 x 16 GB,ARTESYN 550W PSU(P/N:CSU550AP-3-20),550
Sugon,1,2U,9825,39800,36200,32300,28100,24100,20100,16100,12100,80690,402209,364,334,295,243,206,183,167,150,134,117,53.1,10928,10839,10941,11559,11707,10958,9660,8016,5975,3430,44,2,22,Intel Xeon Gold 6152,12 x 16 GB,ARTESYN 550W PSU(P/N:CSU550AP-3-20),550
Sugon,1,2U,12306,57400,52500,46600,40800,35000,29300,23300,17500,11700,58610,450,378,320,284,254,221,194,171,149,125,54.6,12746,13873,14550,1440,13797,13249,12023,10265,7854,4681,56,2,28,Intel Xeon Platinum 8180 2.50 GHz,12 x 16 GB,ARTESYN 550W PSU(P/N:CSU550AP-3-20),550
Sugon,1,2U,10255,43900,39800,35400,31000,26500,22100,17700,13200,886639,442556,387,354,312,258,218,194,174,157,140,121,53.4,11329,11240,11339,1203,12164,11405,10152,8437,6348,3659,48,2,24,Intel Xeon Platinum 8160,12 x 16 GB,ARTESYN 550W PSU(P/N:CSU550AP-3-20),550
Sugon,1,2U,9939,31600,28700,25500,22300,19100,15900,12700,954090,634351,318891,264,240,217,196,175,156,139,122,107,91.3,52.5,11964,11976,11745,11383,10908,10186,9166,7806,5933,3491,36,2,18,Intel Xeon E5-2699 v3 2.30 GHz,8 x 16 GB,GW-CRPS550 PN:1197317,550
