Hardware Vendor,Nodes,Form Factor,Result,ssj_ops @ 10% of target load,ssj_ops @ 90% of target load,ssj_ops @ 80% of target load,ssj_ops @ 70% of target load,ssj_ops @ 60% of target load,ssj_ops @ 50% of target load,ssj_ops @ 40% of target load,ssj_ops @ 30% of target load,ssj_ops @ 20% of target load,ssj_ops @ 10% of target load,Average watts @ 10% of target load,Average watts @ 90% of target load,Average watts @ 80% of target load,Average watts @ 70% of target load,Average watts @ 60% of target load,Average watts @ 50% of target load,Average watts @ 40% of target load,Average watts @ 30% of target load,Average watts @ 20% of target load,Average watts@10% of target load,Average watts @ active idle,Performance/power @ 10% of target load,Performance/power @ 90% of target load,Performance/power @ 80% of target load,Performance/power @ 70% of target load,Performance/power @ 60% of target load,Performance/power @ 50% of target load,Performance/power @ 40% of target load,Performance/power @ 30% of target load,Performance/power @ 20% of target load,Performance/power @ 10% of target load,# Cores,# Chips,# Cores Per Chip,Processor,DIMMS,Power Supply Details,Power Supply Rating (watts)
Dell Inc.,1,2U,11872,115000,104000,92700,81200,69500,57900,46300,34700,23200,11600,939,839,710,592,511,442,383,333,286,237,89.8,12292,12406,13055,13717,13613,13108,12080,10413,8090,4891,112,4,28,Intel Xeon Platinum 8180 2.50 GHz,24 x 16 GB,Dell SKU 450-AFMR,160
Dell Inc.,1,3U,11958,115000,104000,92500,80900,69300,57800,46200,34600,23100,11500,915,820,694,583,502,437,383,336,292,245,106,12597,12688,13321,13879,13813,13230,12068,10303,7915,4703,112,4,28,Intel Xeon Platinum 8180 2.50 GHz,24 x 16 GB,Dell p/n T94HP,110
Dell Inc.,1,Tower,10103,32500,29700,25900,22700,19500,16200,13000,972113,645820,325183,273,247,217,191,172,157,142,126,108,89.6,48.1,11872,12021,11923,11867,11335,10351,9161,7742,5989,3630,36,2,18,Intel Xeon E5-2699 v3 2.30 GHz,8 x 8192 MB,Dell p/n KNHJV,750
Dell Inc.,1,Tower,11537,58100,52400,46600,40800,34900,29100,23300,17500,11700,586207,469,421,358,307,268,233,203,178,153,128,56,12387,12454,13011,13276,1303,12489,11453,9842,7596,4571,56,2,28,Intel Xeon Platinum 8180 2.50 GHz,12 x 16 GB,Dell P/N KNHJV,750
Fujitsu,4,Blade,10619,176000,159000,141000,125000,106000,88000,70400,52800,35200,17600,1412,1214,1078,969,867,787,718,652,587,520,329,12441,13061,13076,12894,12188,11183,9814,8092,605,3380,192,8,24,Intel Xeon Platinum 6252,12 x 16384 MB,N/A,0
Fujitsu,1,1U,17278,58200,52100,46300,40600,34800,29000,23100,17400,11600,576481,250,229,212,192,179,168,156,145,133,119,60.8,23274,22766,21789,21084,19384,17258,14770,11982,8712,4861,64,1,64,AMD EPYC 7742 2.25 GHz,8 x 32 GB,PYBPU651,650
Fujitsu,1,1U,6916,508013,463373,406011,356998,305028,252720,202718,153152,101051,50447,63.9,60.3,51.3,44,37.6,32.3,29.1,25.9,23.5,20.7,16,7947,7687,7909,8107,8104,7819,6969,5905,4304,2434,4,1,4,Intel Xeon E3-1275Lv3,2 x 8192 MB,Fujitsu Technology Solutions S26361-K1537-V101,30
Fujitsu,1,1U,7809,474047,427509,379044,332812,282416,236669,191106,141210,94558,47253,47.7,43.6,39,35.2,31.2,28.4,26.2,24.1,22.3,20.1,16,9932,9814,9710,9464,9049,8327,7304,5858,4234,2356,4,1,4,Intel Xeon E3-1260L v5,2 x 8192 MB,Standard power supply part of base unit S26361-K1550-V101,30
Fujitsu,1,1U,9281,586973,527938,471368,414492,353701,294232,235319,177117,118070,59428,56.1,51.5,44.5,37.3,31.9,28.2,25.4,23,20.5,17.5,13.1,10471,10244,10592,11120,11087,10444,9283,7695,5751,340,4,1,4,Intel Xeon E3-1230 v6,2 x 8192 MB,Standard power supply part of base unit S26361-K160-V101,30
Fujitsu,1,1U,8924,651586,582666,519605,455039,391263,322940,259677,195508,130148,64423,73.9,62.1,51.6,43.3,36.8,31.2,26.9,23.5,20.5,17.9,12.8,8821,9390,1074,10503,10643,10363,9654,8334,6341,3594,6,1,6,Intel Xeon E-2176G,2 x 8192 MB,Standard power supply part of base unit S26361-K1640-V101,30
